Beam Search
[0] ε=0.0000, TWCT=8539.00
[1] ε=0.0000, TWCT=6838.00
[2] ε=0.0000, TWCT=7783.00
[3] ε=0.0000, TWCT=7297.00
[4] ε=0.0000, TWCT=8272.00
[5] ε=0.0000, TWCT=8902.00
[6] ε=0.0000, TWCT=7778.00
[7] ε=0.0000, TWCT=8830.00
[8] ε=0.0000, TWCT=8421.00
[9] ε=0.0000, TWCT=5661.00
[10] ε=0.0000, TWCT=6820.00
[11] ε=0.0000, TWCT=8884.00
[12] ε=0.0000, TWCT=10416.00
[13] ε=0.0000, TWCT=5217.00
[14] ε=0.0000, TWCT=10323.00
[15] ε=0.0000, TWCT=8171.00
[16] ε=0.0000, TWCT=7964.00
[17] ε=0.0000, TWCT=8639.00
[18] ε=0.0000, TWCT=11159.00
[19] ε=0.0000, TWCT=8278.00
[20] ε=0.0000, TWCT=6371.00
[21] ε=0.0000, TWCT=7719.00
[22] ε=0.0000, TWCT=9301.00
[23] ε=0.0000, TWCT=6958.00
[24] ε=0.0000, TWCT=7413.00
[25] ε=0.0000, TWCT=7769.00
[26] ε=0.0000, TWCT=9680.00
[27] ε=0.0000, TWCT=9344.00
[28] ε=0.0000, TWCT=6741.00
[29] ε=0.0000, TWCT=9036.00
[30] ε=0.0000, TWCT=6180.00
[31] ε=0.0000, TWCT=8737.00
[32] ε=0.0000, TWCT=7094.00
[33] ε=0.0000, TWCT=6527.00
[34] ε=0.0000, TWCT=8891.00
[35] ε=0.0000, TWCT=8353.00
[36] ε=0.0000, TWCT=7700.00
[37] ε=0.0000, TWCT=8965.00
[38] ε=0.0000, TWCT=5298.00
[39] ε=0.0000, TWCT=9378.00
[40] ε=0.0000, TWCT=9391.00
[41] ε=0.0000, TWCT=6758.00
[42] ε=0.0000, TWCT=7894.00
[43] ε=0.0000, TWCT=9896.00
